frame.len,ip.hdr_len,ip.len,ip.ttl,ip.proto,tcp.len,tcp.seq,tcp.ack,tcp.hdr_len,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,tcp.time_delta,udp.length,udp.stream,icmp.type,icmp.seq,icmp.seq_le,icmp.resp_to,data.len,arp.hw.size,arp.proto.size,Status
7306,20,7292,64,6,7240,394154,1,32,1986182440,450367840,18824,44888,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,401394,1,32,1986182440,450367840,21720,47784,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,404290,1,32,1986182440,450367840,24616,50680,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,407186,1,32,1986182440,450367840,28960,55024,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,411530,1,32,1986182440,450367840,33304,59368,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,415874,1,32,1986182441,450367840,34752,60816,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,417322,1,32,1986182441,450367840,40544,66608,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,423114,1,32,1986182442,450367840,46336,72400,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,428906,1,32,1986182442,450367840,52128,78192,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,434698,1,32,1986182442,450367840,57920,83984,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,440490,1,32,1986182442,450367840,62264,88328,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,444834,1,32,1986182442,450367840,68056,94120,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,450626,1,32,1986182442,450367840,69504,95568,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,452074,32,450367887,1986182440,0,0,0.03,0,0,0,0,0,0,0,0,0,0
10202,20,10188,64,6,10136,452074,1,32,1986182477,450367887,10136,105704,0,0,0,0,0,0,0,0,0,0,0
7306,20,7292,64,6,7240,462210,1,32,1986182477,450367887,17376,112944,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,469450,1,32,1986182477,450367887,21720,117288,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,473794,1,32,1986182477,450367887,26064,121632,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,478138,1,32,1986182477,450367887,30408,125976,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,482482,1,32,1986182479,450367887,31856,127424,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,483930,1,32,1986182479,450367887,36200,131768,0,0,0,0,0,0,0,0,0,0,0
